"Yank selection to system clipboard","<leader>y"
"Open LazyGit","<leader>lg"
"Harpoon: Add file to list","<leader>a"
"Harpoon: Toggle quick menu","<C-e>"
"Harpoon: List files in Telescope","<leader>fl"
"Format file or range (Conform)","<leader>fd"
"Open Netrw Explorer","<leader>cd"
"Vimtex: Toggle compilation","<leader>ll"
"Vimtex: View PDF","<leader>lv"
"Toggle diagnostic virtual text","<leader>vn"
"DAP: Toggle breakpoint","<leader>db"
"DAP: Continue debugging","<leader>dc"
"DAP: Step over","<leader>do"
"DAP: Step into","<leader>di"
"DAP: Step out","<leader>du"
"DAP: Run last debugging session","<leader>dr"
"DAP: Terminate debugging session","<leader>dq"
"DAP: Toggle UI","<leader>dt"
"Oil: Open parent directory explorer","-"
"Trouble: Toggle diagnostics panel","<leader>xx"
"Trouble: Buffer diagnostics panel","<leader>xw"
"Aerial: Toggle symbols outline list","<leader>o"
"Bufferline: Cycle to previous buffer","[b"
"Bufferline: Cycle to next buffer","]b"
"Bufferline: Delete current buffer","<leader>bd"
"Persistence: Load directory session","<leader>qs"
"Persistence: Load last session","<leader>ql"
"Persistence: Stop session saving on exit","<leader>qd"
"Flash: Jump motion","s"
"Flash: Treesitter selection","S"
"Flash: Remote search","r (in operator-pending mode)"
"Surround-UI: Open Which-Key surround menu","m"
"Surround-UI: Add surround","ma"
"Surround-UI: Delete surround","md"
"Surround-UI: Replace surround","mr"
"Base: Go to definition","gd"
"Base: Show hover information","K"
"Base: Code actions","gra"
"Base: Rename symbol","grn"
"Base: References list","grr"
"Base: Jump to beginning of line","0"
"Base: Jump to end of line","$"
"Base: Move cursor left","h"
"Base: Move cursor down","j"
"Base: Move cursor up","k"
"Base: Move cursor right","l"
"Base: Move to window on the left","<C-w>h"
"Base: Move to window below","<C-w>j"
"Base: Move to window above","<C-w>k"
"Base: Move to window on the right","<C-w>l"
"Base: Split window horizontally","<C-w>s"
"Base: Split window vertically","<C-w>v"
"Base: Close current window","<C-w>c"
"Base: Undo change","u"
"Base: Redo change","<C-r>"
"Base: Clear search highlight",":noh"
